ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
14279,HETERO LABS LIMITED,Tanzania,Air,10579.0,41585.93,343352.4,100986,0.11,2012-11-01 00:00:00,2012-11-01 00:00:00,0,0,0.036,LOW
14286,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Côte d'Ivoire,Air,550.0,8263.16,55100.0,1900,1.45,2013-11-27 00:00:00,2013-11-27 00:00:00,0,0,0.01,LOW
14291,"Orgenics, Ltd",Tanzania,Air,39.0,1176.54,8000.0,100,0.8,2014-07-15 00:00:00,2014-07-15 00:00:00,0,0,0.004,LOW
14309,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,824.0,3216.15,231845.84,3812,0.51,2013-01-15 00:00:00,2013-01-15 00:00:00,0,0,0.008,LOW
14323,"Standard Diagnostics, Inc.",Dominican Republic,Air,1047.0,,8400.0,112,0.75,2011-09-27 00:00:00,2011-09-27 00:00:00,0,0,0.017,LOW
14331,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,383.0,1162.52,22932.0,3528,0.22,2009-09-28 00:00:00,2009-09-28 00:00:00,0,0,0.004,LOW
14348,"Orgenics, Ltd",Nigeria,Air,976.0,26014.88,181916.0,2044,0.89,2011-07-27 00:00:00,2011-07-27 00:00:00,0,0,0.248,LOW
14364,PHARMACY DIRECT,South Africa,Truck,1047.0,,620.91,9,1.15,2014-10-03 00:00:00,2014-10-03 00:00:00,0,0,0.001,LOW
14384,Aurobindo Pharma Limited,Tanzania,Air,1337.0,8403.67,32552.52,20867,0.05,2014-03-22 00:00:00,2014-03-22 00:00:00,0,0,0.028,LOW
14404,STRIDES ARCOLAB LIMITED,South Africa,Ocean,9306.0,10511.33,430500.0,150000,0.05,2011-09-02 00:00:00,2011-09-02 00:00:00,0,0,0.044,LOW
14409,CIPLA LIMITED,South Africa,Ocean,16729.0,25199.31,443610.0,159000,0.05,2011-03-14 00:00:00,2011-03-14 00:00:00,0,0,0.082,LOW
14410,NOVARTIS PHARMA SERVICES AG,Nigeria,Air,859.0,5810.56,48555.0,1245,0.05,2011-02-28 00:00:00,2011-02-28 00:00:00,0,0,0.009,LOW
14412,PHARMACY DIRECT,South Africa,Truck,1047.0,,2031.3,24,1.41,2014-11-05 00:00:00,2014-11-05 00:00:00,0,0,0.002,LOW
14431,Hoffmann-La Roche ltd Basel,Rwanda,Air,27.0,2205.25,17410.04,109,0.59,2012-07-05 00:00:00,2012-07-05 00:00:00,0,0,0.012,LOW
14433,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,4669.76,100,1.56,2009-12-29 00:00:00,2009-12-29 00:00:00,0,0,0.001,LOW
14437,PHARMACY DIRECT,South Africa,Truck,1047.0,,51.42,3,0.06,2015-07-14 00:00:00,2015-07-14 00:00:00,0,0,0.003,LOW
14440,ASPEN PHARMACARE,South Africa,Air,1047.0,,280560.0,28000,0.04,2011-02-09 00:00:00,2011-02-09 00:00:00,0,0,0.138,LOW
14447,Aurobindo Pharma Limited,South Africa,Ocean,488.0,4232.71,25909.95,5745,0.15,2011-11-03 00:00:00,2011-10-10 00:00:00,-24,0,0.28,LOW
14508,"Orgenics, Ltd",Zimbabwe,Air,1053.0,27236.25,218400.0,2730,0.8,2011-09-08 00:00:00,2011-09-08 00:00:00,0,0,0.113,LOW
14542,Aurobindo Pharma Limited,South Africa,Air,1047.0,,19185.0,6395,0.01,2010-08-24 00:00:00,2011-03-04 00:00:00,192,1,0.379,MEDIUM
14564,PHARMACY DIRECT,South Africa,Truck,1047.0,,126.22,7,0.3,2015-03-09 00:00:00,2015-03-09 00:00:00,0,0,0.0,LOW
